10 5
(0,0)330563459(1,0)
(0,0)1462722881(0,1)
(2,0)332817529(2,1)
(3,0)273684433(3,1)
(4,0)270017208(5,0)
(5,0)588542639(6,0)
(6,0)934084981(6,1)
(7,0)548488826(7,1)
(8,0)47866901(9,0)
(8,0)755262675(8,1)
(0,1)1088163016(1,1)
(1,1)123842659(2,1)
(2,1)1247523429(2,2)
(3,1)360230427(4,1)
(4,1)465129096(4,2)
(5,1)872606803(6,1)
(5,1)358076979(5,2)
(6,1)688640438(7,1)
(7,1)737943849(7,2)
(8,1)488136673(9,1)
(8,1)1021457967(8,2)
(0,2)563318783(0,3)
(1,2)499086032(2,2)
(2,2)385289099(3,2)
(2,2)79044195(2,3)
(3,2)627533021(4,2)
(3,2)13318580(3,3)
(4,2)768581255(5,2)
(5,2)675399923(5,3)
(6,2)188601252(6,3)
(7,2)312443911(8,2)
(7,2)844377553(7,3)
(8,2)705563098(9,2)
(0,3)1170692194(1,3)
(0,3)1223833147(0,4)
(3,3)633759199(4,3)
(3,3)123066916(3,4)
(4,3)1917468746(4,4)
(5,3)1121895872(5,4)
(6,3)612397428(7,3)
(7,3)59446051(8,3)
(7,3)549859772(7,4)
(8,3)935148871(9,3)
(8,3)691441623(8,4)
(9,3)72764631(9,4)
(0,4)1318974644(1,4)
(1,4)449638209(2,4)
(2,4)841345887(3,4)
(5,4)1029947139(6,4)
